Time (sec.), Cycles, "bFlag"
1.106059361, 79636274, 1.000000000
1.107059389, 79708276, 0.000000000
1.108059431, 79780279, 1.000000000
1.109059458, 79852281, 0.000000000
1.110059500, 79924284, 1.000000000
1.111059528, 79996286, 0.000000000
1.112059569, 80068289, 1.000000000
1.113059597, 80140291, 0.000000000
1.114059639, 80212294, 1.000000000
1.115059667, 80284296, 0.000000000
1.116059708, 80356299, 1.000000000
1.117059736, 80428301, 0.000000000
1.118059778, 80500304, 1.000000000
1.119059806, 80572306, 0.000000000
1.120059847, 80644309, 1.000000000
1.121059875, 80716311, 0.000000000
1.122059917, 80788314, 1.000000000
1.123059944, 80860316, 0.000000000
1.124059986, 80932319, 1.000000000
1.125060014, 81004321, 0.000000000
1.126060056, 81076324, 1.000000000
1.127060083, 81148326, 0.000000000
1.128060125, 81220329, 1.000000000
1.129060153, 81292331, 0.000000000
1.130060194, 81364334, 1.000000000
1.131060222, 81436336, 0.000000000
1.132060264, 81508339, 1.000000000
1.133060292, 81580341, 0.000000000
1.134060333, 81652344, 1.000000000
1.135060361, 81724346, 0.000000000
1.136060403, 81796349, 1.000000000
1.137060431, 81868351, 0.000000000
1.138060472, 81940354, 1.000000000
1.139060500, 82012356, 0.000000000
1.140060542, 82084359, 1.000000000
1.141060569, 82156361, 0.000000000
1.142060611, 82228364, 1.000000000
1.143060639, 82300366, 0.000000000
1.144060681, 82372369, 1.000000000
1.145060708, 82444371, 0.000000000
1.146060750, 82516374, 1.000000000
1.147060778, 82588376, 0.000000000
1.148060819, 82660379, 1.000000000
1.149060847, 82732381, 0.000000000
1.150060889, 82804384, 1.000000000
1.151060917, 82876386, 0.000000000
1.152060958, 82948389, 1.000000000
1.153060986, 83020391, 0.000000000
1.154061028, 83092394, 1.000000000
1.155061056, 83164396, 0.000000000
1.156061097, 83236399, 1.000000000
1.157061125, 83308401, 0.000000000
1.158061167, 83380404, 1.000000000
1.159061194, 83452406, 0.000000000
1.160061236, 83524409, 1.000000000
1.161061264, 83596411, 0.000000000
1.162061306, 83668414, 1.000000000
1.163061333, 83740416, 0.000000000
1.164061375, 83812419, 1.000000000
1.165061403, 83884421, 0.000000000
1.166061444, 83956424, 1.000000000
1.167061472, 84028426, 0.000000000
1.168061514, 84100429, 1.000000000
1.169061542, 84172431, 0.000000000
1.170061583, 84244434, 1.000000000
1.171061611, 84316436, 0.000000000
